Pedido;Cidade;Logistica;Situacao_CSV_Entrega;Situacao;Valor_Pedido;Data;Itens_Resumo
DEMO-L001;Poranga;Entregue;CANCELADO;Cancelado;R$ 890,00;10/09/2026;21503 - CIMENTO POTY (2,00 UN)
DEMO-L002;Ipaporanga;CANCELADO;Em rota;Ativo;R$ 450,00;11/09/2026;6159 - MASSA CORRIDA (1,00 UN)
DEMO-L003;Ararendá;RETIRADA BALCAO;Retirada;Retirada;R$ 300,00;09/09/2026;8608 - ARGAMASSA (1,00 UN)
DEMO-L004;Crateús;Entregue;Entregue;Concluido;R$ 1.200,00;08/09/2026;21503 - CIMENTO POTY (3,00 UN)
DEMO-L005;Poranga;Em rota;Em rota;Ativo;  R$   2.350,90  ;12/09/2026;21246 - PISO CERBRAS IPANEMA CINZA (23,00 MT)
DEMO-L006;Ipaporanga;Em rota;Em rota;Ativo;R$ 680,00;15/03/2014;6159 - MASSA CORRIDA (2,00 UN)
DEMO-L007;Ararendá;Em rota;Em rota;Ativo;R$ 176,00;13/09/2026;12184 - CX DAGUA 500L (4,00 UN)
DEMO-L008;Poranga;Em rota;Em rota;Ativo;R$ 200,00;14/09/2026;88888 - PRODUTO NOVO SEM CADASTRO (5,00 UN)
DEMO-L009;Ipaporanga;Em rota;Em rota;Ativo;R$ 90,00;14/09/2026;ITEM DESCRITO SEM QUANTIDADE NO FORMATO ESPERADO
DEMO-L010;Poranga;Em rota;Em rota;Ativo;R$ 1.050,00;13/09/2026;21503 - CIMENTO POTY (1,00 UN) | 6159 - MASSA CORRIDA (1,00 UN)
